material_id,formula_pretty,energy_above_hull,formation_energy_per_atom,is_stable,density,volume,nsites,band_gap,is_metal,theoretical,working_ion,framework_formula,n_possible_working_ions,pred_average_voltage,pred_max_delta_volume,volume_prediction_valid,pareto
mp-1214672,Ba2Mg2MnF10,0.007825307500002765,-3.777152803195402,False,4.358910885407546,432.90409190674376,30,4.4494,False,True,Mg,Ba2MnF10,1,3.9138598,0.08598875254392624,True,False
mp-541162,Ba2Mg3F10,0.0058318693333383465,-3.9493064196666654,False,4.497369933820089,396.9554759282166,30,6.8919999999999995,False,False,Mg,BaF5,1,3.9479187,0.08598875254392624,True,False
mp-733604,Ba2Mg3H10,0.0,-0.46198349049999954,True,3.0972572737710458,383.4935807018973,30,3.0265000000000004,False,False,Mg,BaH5,1,0.24632879,0.08598875254392624,True,False
mp-29564,Ba2Mg3Si4,0.0,-0.30904385166666715,True,3.4822426424883997,438.62548485726893,18,0.0,True,False,Mg,BaSi2,1,0.11198874,3.2352375984191895,True,False
mp-1358843,Ba2MgCo2CuF14,0.028152872250002403,-2.93064302525,False,4.583867073327336,540.7406940518105,40,0.9756,False,True,Mg,Ba2Co2CuF14,1,4.3304353,0.08598875254392624,True,False
mp-1045463,Ba2MgCu3F14,0.0,-2.7961402682500003,True,4.728402652195119,530.6913600487412,40,0.14420000000000002,False,True,Mg,Ba2Cu3F14,1,4.1653137,0.08598875254392624,True,False
mp-1045802,Ba2MgCuAg2F14,0.048549087125005386,-2.609212751166666,False,4.761745777535585,588.8003148888168,40,0.19640000000000007,False,True,Mg,Ba2CuAg2F14,1,4.039848,0.08598875254392624,True,False
mp-1361554,Ba2MgCuBi2F14,0.04534406099999444,-3.17840915775,False,5.50478291528421,631.3274293454729,40,1.3099999999999998,False,True,Mg,Ba2CuBi2F14,1,3.966677,0.08598875254392624,True,False
mp-1190545,Ba2MgGe2O7,0.0,-2.7905924054166653,True,4.679977554888352,394.7239515831128,24,3.6281472046652157,False,False,Mg,Ba2Ge2O7,1,0.018489541,0.08598875254392624,True,False
mp-643370,Ba2MgH6,0.0,-0.5458185658333323,True,3.9416238324005604,128.49410890931205,9,2.8864,False,False,Mg,BaH3,1,0.961096,0.08598875254392624,True,False
mp-2227413,Ba2MgMnO4,0.029071344062500337,-2.652216966616379,False,5.3376269682842405,130.0072839181594,8,0.9927999999999999,False,True,Mg,Ba2MnO4,1,0.3811656,0.08598875254392624,True,False
mp-1205825,Ba2MgMoO6,0.0,-2.8326574255,True,5.887181720852885,138.4620059485812,10,2.2639,False,True,Mg,Ba2MoO6,1,0.71769446,0.08598875254392624,True,False
mp-1206133,Ba2MgOsO6,0.0,-2.5998744305000003,True,7.114782041568199,136.57807274829685,10,0.0,True,True,Mg,Ba2OsO6,1,0.76402605,0.08598875254392624,True,False
mp-22441,Ba2MgReO6,0.0,-2.8366814187499996,True,7.044236314309028,136.99751506448058,10,0.0,True,False,Mg,Ba2ReO6,1,0.68958855,0.08598875254392624,True,False
